route_id,service_id,trip_id,trip_headsign,direction_id,direction,block_id,shape_id,wheelchair_accessible,branch_letter,boarding_type
27,4,1131211,Hiawatha-Lake / Via 28St,0,EB,155998,770027003,1,,0
65,1,1131212,Dale & Grand,1,SB,156354,770065002,1,,0
54,3,1131217,Ltd Stop / Dtwn St Paul / Via Airport,0,EB,160808,770054003,1,,0
54,1,1131218,Ltd Stop / Mall Amer / Via Airport,1,WB,161550,770054008,1,,0
323,1,1131220,LondinLn / WoodwindsHosp / WoodburyVilla,0,EB,156675,770323001,1,,0
724,2,1131221,Brklyn Ctr / Transit Ctr,1,SB,161649,770724003,1,,0
4,3,1131223,Lyndale-Penn / Knox - American,1,SB,156164,770004009,1,P,0
27,1,1131224,Hiawatha-Lake / Via 28St,0,EB,159235,770027003,1,,0
4,3,1131225,Johnson St / Silver Lk Vlg / Via Lyndale,0,NB,156654,770004004,1,B,0
725,2,1131226,Starlite Ctr / 85 Ave / Northown,0,EB,156527,770725001,1,,0
805,2,1131229,Riverdale / Coon Rapids / Northtown,1,SB,156098,770805001,1,,0
54,1,1131230,Ltd Stop / Mall Amer / Via Airport,1,WB,161679,770054008,1,,0
323,3,1131231,LondinLn / WoodwindsHosp / WoodburyVilla,0,EB,156270,770323001,1,,0
323,1,1131233,LondinLn / WoodwindsHosp / WoodburyVilla,0,EB,156112,770323001,1,,0
54,1,1131234,Ltd Stop / Mall Amer / Via Airport,1,WB,161395,770054008,1,,0
80,1,1131240,White Bear / Sun ray,1,SB,156549,770080001,1,,0
87,3,1131241,Rosedale / Cleveland Ave / U of M,0,NB,156227,770087001,1,,0
323,3,1131243,LondinLn / WoodwindsHosp / WoodburyVilla,0,EB,156270,770323001,1,,0
65,3,1131244,Dale & Grand,1,SB,156227,770065002,1,,0
546,1,1131248,Valley West / Norm Village / Norm Coll,1,WB,156280,770546001,1,,0
54,1,1131250,Ltd Stop / Dtwn St Paul / Via Airport,0,EB,161465,770054004,1,,0
227,1,1131253,Rsvl Civic Ctr / Super Target,0,NB,156114,770227003,1,,0
725,2,1131255,85 Ave / Starlite Ctr / Osseo,1,WB,155982,770725002,1,,0
72,1,1131256,Selby-Burns / University & Hamline,1,WB,156690,770072003,1,,0
4,3,1131260,Lyndale-Penn / Knox - American,1,SB,160553,770004010,1,P,0
80,1,1131261,White Bear / Maplwd Mall,0,NB,156508,770080002,1,,0
546,2,1131267,Valley West / Norm Village / Norm Coll,1,WB,155996,770546001,1,,0
5,1,1131269,Chicago - 56St,1,SB,161282,770005006,1,B,0
323,3,1131270,Woodwinds Hosp / Londin Ln / Sun Ray TC,1,WB,156031,770323002,1,,0
4,1,1131271,Johnson St / Silver Lk Vlg / Via Penn,0,NB,161663,770004005,1,B,0
83,3,1131275,Lexington Pkwy / Montreal Ave,1,SB,156148,770083002,1,,0
538,1,1131278,86St / Southtown / Southdale,1,WB,156315,770538001,1,,0
716,3,1131280,Douglas Dr / Winnetka Av / Robbinsdale,1,SB,156064,770716001,1,,0
